Column1.Punishment,Column1.Id,Column1.GovermentAgency,Column1.MeetingAgency,Column1.Type,Column1.Status,Column1.Name,Column1.Desc,Column1.EffectiveStartTime,Column1.EffectiveEndTime,Column1.ContactMethod,Column1.KWT,Column1.Version,Column1.CreatorUserId,Column1.CreationTime,Column1.LastModifiedUserId,Column1.ModifictionTime,Column1.polygons,Column1.wkt
,0,,,,,,,/Date(-62135596800000)/,/Date(-62135596800000)/,,,0,,/Date(-62135596800000)/,,/Date(-62135596800000)/,[List],
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",135,3,03.20003.20056.20029,7,1,新北41-陸軍營區,本區禁止遙控無人機飛航活動，因執行業務得經新北市政府會商陸軍第六軍團同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：李杰倫
電子郵件：無
電話：0905153013",,1,21625,/Date(1580978977787)/,21625,/Date(1580978977787)/,[List],"POLYGON ((121.463333333333 25.1311111111111, 121.463055555556 25.1297222222222, 121.463611111111 25.1283333333333, 121.464166666667 25.1283333333333, 121.464444444444 25.1308333333333, 121.463333333333 25.1311111111111))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",308,1,01.20003.20008.20011,7,1,北4 公路總局大樓,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商公路總局同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：秘書室事務科李志鴻
電子郵件：g1205221@thb.gov.tw
電話：02-23070123#1515",,1,21625,/Date(1580979056723)/,21625,/Date(1580979056723)/,[List],"POLYGON ((121.496561111111 25.0267111111111, 121.4964 25.0270388888889, 121.496230555556 25.0270805555556, 121.496269444444 25.0273, 121.496880555556 25.0272, 121.496780555556 25.0267888888889, 121.496561111111 25.0267111111111))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",309,1,01.20003.20008.20004,7,1,北8 鞍部氣象站,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商中央氣象局同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：黃惠君
電子郵件：mhuanghc@cwb.gov.tw
電話：02-28611533",,1,21625,/Date(1580979056847)/,21625,/Date(1580979056847)/,[List],"POLYGON ((121.529644444444 25.182225000000003, 121.52969345301416 25.182227407636667, 121.52974198960501 25.1822346073598, 121.52978958678263 25.182246529832135, 121.52983578616019 25.182263060233744, 121.52988014281242 25.182284039367826, 121.52992222956051 25.182309265193851, 121.52996164108609 25.182338494773319, 121.5299979978346 25.182371446609409, 121.53003094967069 25.182407803357918, 121.53006017925016 25.182447214883492, 121.53008540507618 25.182489301631588, 121.53010638421026 25.18253365828382, 121.53012291461187 25.182579857661374, 121.5301348370842 25.182627454838993, 121.53014203680735 25.182675991429836, 121.530144444444 25.182725, 121.53014203680735 25.182774008570167, 121.5301348370842 25.182822545161009, 121.53012291461187 25.182870142338629, 121.53010638421026 25.182916341716183, 121.53008540507618 25.182960698368415, 121.53006017925016 25.183002785116511, 121.53003094967069 25.183042196642084, 121.5299979978346 25.183078553390594, 121.52996164108609 25.183111505226684, 121.52992222956051 25.183140734806152, 121.52988014281242 25.183165960632177, 121.52983578616019 25.183186939766259, 121.52978958678263 25.183203470167868, 121.52974198960501 25.183215392640204, 121.52969345301416 25.183222592363336, 121.529644444444 25.183225, 121.52959543587384 25.183222592363336, 121.52954689928299 25.183215392640204, 121.52949930210538 25.183203470167868, 121.52945310272781 25.183186939766259, 121.52940874607559 25.183165960632177, 121.52936665932749 25.183140734806152, 121.52932724780192 25.183111505226684, 121.52929089105341 25.183078553390594, 121.52925793921732 25.183042196642084, 121.52922870963785 25.183002785116511, 121.52920348381183 25.182960698368415, 121.52918250467775 25.182916341716183, 121.52916597427614 25.182870142338629, 121.5291540518038 25.182822545161009, 121.52914685208066 25.182774008570167, 121.529144444444 25.182725, 121.52914685208066 25.182675991429836, 121.5291540518038 25.182627454838993, 121.52916597427614 25.182579857661374, 121.52918250467775 25.18253365828382, 121.52920348381183 25.182489301631588, 121.52922870963785 25.182447214883492, 121.52925793921732 25.182407803357918, 121.52929089105341 25.182371446609409, 121.52932724780192 25.182338494773319, 121.52936665932749 25.182309265193851, 121.52940874607559 25.182284039367826, 121.52945310272781 25.182263060233744, 121.52949930210538 25.182246529832135, 121.52954689928299 25.1822346073598, 121.52959543587384 25.182227407636667, 121.529644444444 25.182225000000003))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",310,1,01.20003.20006.20001,7,1,北10 臺北市調查處,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商法務部調查局同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：劉得榮
電子郵件：m30031@mjib.gov.tw
電話：02-29112241~5239",,1,21625,/Date(1580979056987)/,21625,/Date(1580979056987)/,[List],"POLYGON ((121.553858333333 25.0228333333333, 121.55415238475399 25.022847779153281, 121.55444360429904 25.022890977492089, 121.55472918736476 25.022962512326103, 121.55500638363009 25.023061694735766, 121.55527252354348 25.023187569540255, 121.55552504403205 25.023338924496393, 121.55576151318549 25.023514301973211, 121.55597965367656 25.023712012989741, 121.55617736469308 25.023930153480809, 121.55635274216991 25.02416662263424, 121.55650409712604 25.02441914312282, 121.55662997193053 25.024685283036202, 121.55672915434019 25.024962479301536, 121.55680068917421 25.02524806236725, 121.55684388751301 25.025539281912309, 121.556858333333 25.0258333333333, 121.55684388751301 25.02612738475429, 121.55680068917421 25.026418604299348, 121.55672915434019 25.026704187365063, 121.55662997193053 25.026981383630396, 121.55650409712604 25.027247523543778, 121.55635274216991 25.027500044032358, 121.55617736469308 25.02773651318579, 121.55597965367656 25.027954653676858, 121.55576151318549 25.028152364693387, 121.55552504403205 25.028327742170205, 121.55527252354348 25.028479097126343, 121.55500638363009 25.028604971930832, 121.55472918736476 25.028704154340495, 121.55444360429904 25.028775689174509, 121.55415238475399 25.028818887513317, 121.553858333333 25.0288333333333, 121.553564281912 25.028818887513317, 121.55327306236696 25.028775689174509, 121.55298747930124 25.028704154340495, 121.55271028303591 25.028604971930832, 121.55244414312251 25.028479097126343, 121.55219162263394 25.028327742170205, 121.55195515348051 25.028152364693387, 121.55173701298943 25.027954653676858, 121.55153930197291 25.02773651318579, 121.55136392449609 25.027500044032358, 121.55121256953996 25.027247523543778, 121.55108669473546 25.026981383630396, 121.5509875123258 25.026704187365063, 121.55091597749178 25.026418604299348, 121.55087277915298 25.02612738475429, 121.550858333333 25.0258333333333, 121.55087277915298 25.025539281912309, 121.55091597749178 25.02524806236725, 121.5509875123258 25.024962479301536, 121.55108669473546 25.024685283036202, 121.55121256953996 25.02441914312282, 121.55136392449609 25.02416662263424, 121.55153930197291 25.023930153480809, 121.55173701298943 25.023712012989741, 121.55195515348051 25.023514301973211, 121.55219162263394 25.023338924496393, 121.55244414312251 25.023187569540255, 121.55271028303591 25.023061694735766, 121.55298747930124 25.022962512326103, 121.55327306236696 25.022890977492089, 121.553564281912 25.022847779153281, 121.553858333333 25.0228333333333))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",311,1,01.20003.20006.20001,7,1,北11 臺北市調查處二辦,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商法務部調查局同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：劉得榮
電子郵件：m30031@mjib.gov.tw
電話：02-29112241~5239",,1,21625,/Date(1580979057113)/,21625,/Date(1580979057113)/,[List],"POLYGON ((121.551947222222 25.0216527777778, 121.55224127364299 25.021667223597781, 121.55253249318804 25.021710421936589, 121.55281807625376 25.021781956770603, 121.55309527251909 25.021881139180266, 121.55336141243248 25.022007013984755, 121.55361393292105 25.022158368940893, 121.55385040207449 25.022333746417711, 121.55406854256556 25.022531457434241, 121.55426625358209 25.022749597925309, 121.55444163105891 25.02298606707874, 121.55459298601504 25.02323858756732, 121.55471886081953 25.023504727480702, 121.55481804322919 25.023781923746036, 121.55488957806321 25.02406750681175, 121.55493277640201 25.024358726356809, 121.554947222222 25.0246527777778, 121.55493277640201 25.02494682919879, 121.55488957806321 25.025238048743848, 121.55481804322919 25.025523631809563, 121.55471886081953 25.025800828074896, 121.55459298601504 25.026066967988278, 121.55444163105891 25.026319488476858, 121.55426625358209 25.02655595763029, 121.55406854256556 25.026774098121358, 121.55385040207449 25.026971809137887, 121.55361393292105 25.027147186614705, 121.55336141243248 25.027298541570843, 121.55309527251909 25.027424416375332, 121.55281807625376 25.027523598784995, 121.55253249318804 25.027595133619009, 121.55224127364299 25.027638331957817, 121.551947222222 25.0276527777778, 121.551653170801 25.027638331957817, 121.55136195125596 25.027595133619009, 121.55107636819024 25.027523598784995, 121.55079917192491 25.027424416375332, 121.55053303201151 25.027298541570843, 121.55028051152294 25.027147186614705, 121.55004404236951 25.026971809137887, 121.54982590187844 25.026774098121358, 121.54962819086191 25.02655595763029, 121.54945281338509 25.026319488476858, 121.54930145842896 25.026066967988278, 121.54917558362446 25.025800828074896, 121.5490764012148 25.025523631809563, 121.54900486638078 25.025238048743848, 121.54896166804198 25.02494682919879, 121.548947222222 25.0246527777778, 121.54896166804198 25.024358726356809, 121.54900486638078 25.02406750681175, 121.5490764012148 25.023781923746036, 121.54917558362446 25.023504727480702, 121.54930145842896 25.02323858756732, 121.54945281338509 25.02298606707874, 121.54962819086191 25.022749597925309, 121.54982590187844 25.022531457434241, 121.55004404236951 25.022333746417711, 121.55028051152294 25.022158368940893, 121.55053303201151 25.022007013984755, 121.55079917192491 25.021881139180266, 121.55107636819024 25.021781956770603, 121.55136195125596 25.021710421936589, 121.551653170801 25.021667223597781, 121.551947222222 25.0216527777778))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",312,1,01.20003.20024.20012,7,1,北12 臺北植物園,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商林業試驗所同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：林謙佑
電子郵件：cylin@tfri.gov.tw
電話：(02)23039978#2706",,1,21625,/Date(1580979057237)/,21625,/Date(1580979057237)/,[List],"POLYGON ((121.51 25.0336111111111, 121.510833333333 25.0336111111111, 121.510833333333 25.0327777777778, 121.511111111111 25.0327777777778, 121.511666666667 25.0313888888889, 121.509444444444 25.0311111111111, 121.509166666667 25.0305555555556, 121.507777777778 25.0313888888889, 121.508055555556 25.0333333333333, 121.51 25.0330555555556, 121.51 25.0336111111111))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",313,1,.886.101.20003.20067,7,1,北15 國家鐵道博物館籌備處,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商國家鐵道博物館籌備處同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：國家鐵道博物館籌備處 李彥文
電子郵件：yenwen@moc.gov.tw
電話：(02)87878850分機508",,1,21625,/Date(1580979057537)/,21625,/Date(1580979057537)/,[List],"POLYGON ((121.557913888889 25.0451083333333, 121.565777777778 25.0481055555556, 121.566958333333 25.0455027777778, 121.563716666667 25.0442055555556, 121.563411111111 25.0449861111111, 121.557913888889 25.0451083333333))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",314,1,.886.101.20003.20067,7,1,北16 臺灣當代文化實驗場,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商文化部文創發展司同意後為之。,/Date(1561910400000)/,/Date(1609344000000)/,"承辦窗口：文創發展司管理組
電子郵件：tafclab@gmail.com
電話：(02)87735087",,1,21625,/Date(1580979057660)/,21625,/Date(1580979057660)/,[List],"POLYGON ((121.539722222222 25.0384777777778, 121.53989865307459 25.03848644526979, 121.54007338480163 25.038512364273075, 121.54024473464105 25.03855528517348, 121.54041105240026 25.038614794619278, 121.54057073634829 25.038690319501971, 121.54072224864143 25.038781132475656, 121.5408641301335 25.038886358961747, 121.54099501442813 25.039004985571662, 121.54111364103805 25.039135869866303, 121.54121886752414 25.039277751358362, 121.54130968049783 25.039429263651513, 121.54138520538052 25.03958894759954, 121.54144471482631 25.039755265358739, 121.54148763572672 25.039926615198169, 121.54151355473 25.040101346925205, 121.541522222222 25.0402777777778, 121.54151355473 25.040454208630393, 121.54148763572672 25.040628940357429, 121.54144471482631 25.040800290196859, 121.54138520538052 25.040966607956058, 121.54130968049783 25.041126291904085, 121.54121886752414 25.041277804197236, 121.54111364103805 25.041419685689295, 121.54099501442813 25.041550569983936, 121.5408641301335 25.041669196593851, 121.54072224864143 25.041774423079943, 121.54057073634829 25.041865236053628, 121.54041105240026 25.04194076093632, 121.54024473464105 25.042000270382118, 121.54007338480163 25.042043191282524, 121.53989865307459 25.042069110285809, 121.539722222222 25.0420777777778, 121.53954579136941 25.042069110285809, 121.53937105964236 25.042043191282524, 121.53919970980294 25.042000270382118, 121.53903339204373 25.04194076093632, 121.53887370809571 25.041865236053628, 121.53872219580256 25.041774423079943, 121.53858031431049 25.041669196593851, 121.53844943001586 25.041550569983936, 121.53833080340594 25.041419685689295, 121.53822557691986 25.041277804197236, 121.53813476394616 25.041126291904085, 121.53805923906347 25.040966607956058, 121.53799972961768 25.040800290196859, 121.53795680871727 25.040628940357429, 121.53793088971399 25.040454208630393, 121.537922222222 25.0402777777778, 121.53793088971399 25.040101346925205, 121.53795680871727 25.039926615198169, 121.53799972961768 25.039755265358739, 121.53805923906347 25.03958894759954, 121.53813476394616 25.039429263651513, 121.53822557691986 25.039277751358362, 121.53833080340594 25.039135869866303, 121.53844943001586 25.039004985571662, 121.53858031431049 25.038886358961747, 121.53872219580256 25.038781132475656, 121.53887370809571 25.038690319501971, 121.53903339204373 25.038614794619278, 121.53919970980294 25.03855528517348, 121.53937105964236 25.038512364273075, 121.53954579136941 25.03848644526979, 121.539722222222 25.0384777777778))"
"罰款3萬-15萬
註冊/地點/操作限制
得沒入遙控無人機",315,1,01.20003.20067.20015,7,1,北17 國立國父紀念館,本區禁止遙控無人機飛航活動，因執行業務得經臺北市政府會商國父紀念館同意後為之。,/Date(1561910400000)/,/Date(29694960000000)/,"承辦窗口：陳懷禮
電子郵件：sun561@yatsen.gov.tw
電話：(02)27588008分機576",,1,21625,/Date(1580979057787)/,21625,/Date(1580979057787)/,[List],"POLYGON ((121.557483333333 25.0415694444444, 121.561672222222 25.0413833333333, 121.561575 25.0374861111111, 121.557408333333 25.0375416666667, 121.557483333333 25.0415694444444))"
